use,name,description,variableslink
,B17010E,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B17010E.json
,B17010F,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B17010F.json
,B17010G,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (TWO OR MORE RACES HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B17010G.json
,B17010H,"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",https://api.census.gov/data/2019/acs/acs5/groups/B17010H.json
,B17010I,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B17010I.json
,B17011,AGGREGATE INCOME DEFICIT (DOLLARS) IN THE PAST 12 MONTHS FOR FAMILIES BY FAMILY TYPE,https://api.census.gov/data/2019/acs/acs5/groups/B17011.json
y,B17012,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF RELATED CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B17012.json
,B17013,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF PERSONS IN FAMILY,https://api.census.gov/data/2019/acs/acs5/groups/B17013.json
,B17014,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF WORKERS IN FAMILY,https://api.census.gov/data/2019/acs/acs5/groups/B17014.json
y,B17015,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY SOCIAL SECURITY INCOME BY SUPPLEMENTAL SECURITY INCOME (SSI) AND CASH PUBLIC ASSISTANCE INCOME,https://api.census.gov/data/2019/acs/acs5/groups/B17015.json
,B17016,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY WORK EXPERIENCE OF HOUSEHOLDER AND SPOUSE,https://api.census.gov/data/2019/acs/acs5/groups/B17016.json
,B17017,POVERTY STATUS IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER,https://api.census.gov/data/2019/acs/acs5/groups/B17017.json
,B17018,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,https://api.census.gov/data/2019/acs/acs5/groups/B17018.json
,B17019,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY TENURE,https://api.census.gov/data/2019/acs/acs5/groups/B17019.json
y,B17020,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B17020.json
,B17020A,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17020A.json
,B17020B,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17020B.json
,B17020C,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17020C.json
,B17020D,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17020D.json
,B17020E,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17020E.json
,B17020F,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17020F.json
,B17020G,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B17020G.json
,B17020H,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B17020H.json
,B17020I,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B17020I.json
,B17021,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT,https://api.census.gov/data/2019/acs/acs5/groups/B17021.json
,B17022,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN,https://api.census.gov/data/2019/acs/acs5/groups/B17022.json
,B17023,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF OWN CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B17023.json
,B17024,AGE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,https://api.census.gov/data/2019/acs/acs5/groups/B17024.json
,B17025,POVERTY STATUS IN THE PAST 12 MONTHS BY NATIVITY,https://api.census.gov/data/2019/acs/acs5/groups/B17025.json
,B17026,RATIO OF INCOME TO POVERTY LEVEL OF FAMILIES IN THE PAST 12 MONTHS,https://api.census.gov/data/2019/acs/acs5/groups/B17026.json
,B18101,SEX BY AGE BY DISABILITY STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B18101.json
,B18101A,AGE BY DISABILITY STATUS (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B18101A.json
,B18101B,AGE BY DISABILITY STATUS (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B18101B.json
,B18101C,AGE BY DISABILITY STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B18101C.json
,B18101D,AGE BY DISABILITY STATUS (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B18101D.json
,B18101E,AGE BY DISABILITY STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B18101E.json
,B18101F,AGE BY DISABILITY STATUS (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B18101F.json
,B18101G,AGE BY DISABILITY STATUS (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B18101G.json
,B18101H,"AGE BY DISABILITY STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B18101H.json
,B18101I,AGE BY DISABILITY STATUS (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B18101I.json
,B18102,SEX BY AGE BY HEARING DIFFICULTY,https://api.census.gov/data/2019/acs/acs5/groups/B18102.json
,B18103,SEX BY AGE BY VISION DIFFICULTY,https://api.census.gov/data/2019/acs/acs5/groups/B18103.json
,B18104,SEX BY AGE BY COGNITIVE DIFFICULTY,https://api.census.gov/data/2019/acs/acs5/groups/B18104.json
,B18105,SEX BY AGE BY AMBULATORY DIFFICULTY,https://api.census.gov/data/2019/acs/acs5/groups/B18105.json
,B18106,SEX BY AGE BY SELF-CARE DIFFICULTY,https://api.census.gov/data/2019/acs/acs5/groups/B18106.json
,B18107,SEX BY AGE BY INDEPENDENT LIVING DIFFICULTY,https://api.census.gov/data/2019/acs/acs5/groups/B18107.json
,B18135,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B18135.json
,B18140,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY DISABILITY STATUS BY SEX FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 YEARS AND OVER WITH EARNINGS,https://api.census.gov/data/2019/acs/acs5/groups/B18140.json
y,B19001,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B19001.json
,B19001A,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001A.json
,B19001B,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001B.json
,B19001C,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001C.json
,B19001D,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001D.json
,B19001E,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001E.json
,B19001F,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001F.json
,B19001G,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001G.json
,B19001H,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",https://api.census.gov/data/2019/acs/acs5/groups/B19001H.json
,B19001I,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19001I.json
y,B19013,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B19013.json
,B19013A,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013A.json
,B19013B,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013B.json
,B19013C,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013C.json
,B19013D,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013D.json
,B19013E,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013E.json
,B19013F,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013F.json
,B19013G,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013G.json
,B19013H,"MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",https://api.census.gov/data/2019/acs/acs5/groups/B19013H.json
,B19013I,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19013I.json
,B19019,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE,https://api.census.gov/data/2019/acs/acs5/groups/B19019.json
,B19025,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B19025.json
,B19025A,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025A.json
,B19025B,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025B.json
,B19025C,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025C.json
,B19025D,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025D.json
,B19025E,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025E.json
,B19025F,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025F.json
,B19025G,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025G.json
,B19025H,"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",https://api.census.gov/data/2019/acs/acs5/groups/B19025H.json
,B19025I,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19025I.json
,B19037,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B19037.json
,B19037A,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037A.json
,B19037B,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037B.json
,B19037C,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037C.json
,B19037D,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037D.json
,B19037E,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037E.json
,B19037F,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037F.json
,B19037G,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037G.json
,B19037H,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",https://api.census.gov/data/2019/acs/acs5/groups/B19037H.json
,B19037I,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19037I.json
,B19049,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER,https://api.census.gov/data/2019/acs/acs5/groups/B19049.json
,B19050,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER,https://api.census.gov/data/2019/acs/acs5/groups/B19050.json
,B19051,EARNINGS IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19051.json
y,B19052,WAGE OR SALARY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19052.json
,B19053,SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19053.json
,B19054,"INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS",https://api.census.gov/data/2019/acs/acs5/groups/B19054.json
,B19055,SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19055.json
,B19056,SUPPLEMENTAL SECURITY INCOME (SSI) IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19056.json
,B19057,PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19057.json
,B19058,PUBLIC ASSISTANCE INCOME OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19058.json
,B19059,RETIREMENT INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19059.json
,B19060,OTHER TYPES OF INCOME IN THE PAST 12 MONTHS FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19060.json
,B19061,AGGREGATE EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19061.json
,B19062,AGGREGATE WAGE OR SALARY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19062.json
,B19063,AGGREGATE SELF-EMPLOYMENT INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19063.json
,B19064,"AGGREGATE INTEREST, DIVIDENDS, OR NET RENTAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS",https://api.census.gov/data/2019/acs/acs5/groups/B19064.json
,B19065,AGGREGATE SOCIAL SECURITY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19065.json
,B19066,AGGREGATE SUPPLEMENTAL SECURITY INCOME (SSI) IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19066.json
,B19067,AGGREGATE PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19067.json
,B19069,AGGREGATE RETIREMENT INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19069.json
,B19070,AGGREGATE OTHER TYPES OF INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B19070.json
,B19080,HOUSEHOLD INCOME QUINTILE UPPER LIMITS,https://api.census.gov/data/2019/acs/acs5/groups/B19080.json
,B19081,MEAN HOUSEHOLD INCOME OF QUINTILES,https://api.census.gov/data/2019/acs/acs5/groups/B19081.json
,B19082,SHARES OF AGGREGATE HOUSEHOLD INCOME BY QUINTILE,https://api.census.gov/data/2019/acs/acs5/groups/B19082.json
,B19083,GINI INDEX OF INCOME INEQUALITY,https://api.census.gov/data/2019/acs/acs5/groups/B19083.json
,B19101,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B19101.json
,B19101A,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101A.json
,B19101B,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101B.json
,B19101C,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101C.json
,B19101D,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101D.json
,B19101E,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101E.json
,B19101F,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101F.json
,B19101G,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101G.json
,B19101H,"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",https://api.census.gov/data/2019/acs/acs5/groups/B19101H.json
,B19101I,FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19101I.json
,B19113,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),https://api.census.gov/data/2019/acs/acs5/groups/B19113.json
,B19113A,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19113A.json
,B19113B,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19113B.json
,B19113C,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19113C.json
,B19113D,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19113D.json
,B19113E,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19113E.json
,B19113F,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B19113F.json
